SMIA,1,2,3,4,5,6,7
Zoom,12.85523658,12.16163561,12.55044054,12.82737725,12.43717454,12.25152015,11.91947602
Center,"(-73.97437530126695,40.704693253411364)","(-73.93453810424501,40.72547391984199)","(-74.23352003844275,40.54882921387903)","(-74.01140420799999,40.685565653427375)","(-73.89876818977746,40.80796327795227)","(-74.01839675299004,40.6568180355587)","(-74.14339908777475,40.638583423832785)"
Bearing,0,0,0,0,0,0,0
Pitch,0,0,0,0,0,0,0
Speed,0.3,0.3,0.3,0.3,0.3,0.3,0.3
